"ncit_value","origin_id"
"adenocarcinoma_in_situ_mucinous","C136717"
"adenocarcinoma_in_situ_nonmucinous","C136716"
"adenocarcinoma_in_situ_nos","C4123"
"adenocarcinoma_in_tubolovillous_adenoma","C4145"
"adenocarcinoma_in_tubular_adenoma","C7677"
"adenocarcinoma_in_villous_adenoma","C4141"
"adenocarcinoma_intestinal_type","C4126"
"adenocarcinoma_metastatic_nos","C4124"
"adenocarcinoma_nos","C2852"
"adenocarcinoma_of_anal_ducts","C5609"
"adenocarcinoma_of_anal_glands","C5609"
"adenocarcinoma_of_rete_ovarii","C40017"
"adenocarcinoma_with_apocrine_metaplasia","C4202"
"adenocarcinoma_with_cartilaginous_and_osseous_metaplasia","C7683"
"adenocarcinoma_with_cartilaginous_metaplasia","C7685"
"adenocarcinoma_with_mixed_subtypes","C65197"
"adenocarcinoma_with_neuroendocrine_differentiation","C66745"
"adenocarcinoma_with_osseous_metaplasia","C7684"
"adenocarcinoma_with_spindle_cell_metaplasia","C4201"
"adenocarcinoma_with_squamous_metaplasia","C4200"
"adenocystic_carcinoma","C2970"
"adenofibroma_nos","C8984"
"adenoid_basal_carcinoma","C27535"
"adenoid_cystic_carcinoma","C2970"
"adenolipoma","C4159"
"adenolymphoma","C2854"
"adenoma_nos","C2855"
"adenoma_of_nipple","C4192"
"adenomatoid_odontogenic_tumor","C4310"
"adenomatoid_tumor_nos","C3762"
"adenomatous_polyp_nos","C3764"
"adenomatous_polyposis_coli","C3339"
"adenomyoma","C3726"
"adenosarcoma","C9474"
"adenosine_a2a_receptor_antagonist_cs3005","C175468"
"adenosquamous_carcinoma","C3727"
"adenovirus_5f35human_guanylyl_cyclase_cpadre","C173640"
"adenovirus_serotype_26expressing_hpv16_vaccine_jnj63682918","C167360"
"adenovirus_serotype_26expressing_hpv18_vaccine_jnj63682931","C167361"
"adnexal_carcinoma","C3775"
"adnexal_tumor_benign","C7580"
"adopted_brother","C166195"
"adopted_daughter","C166131"
"adopted_sister","C166196"
"adopted_son","C166132"
"adoptive_father","C166133"
"adoptive_mother","C166134"
"adrenal_cortical_adenocarcinoma","C9325"
"adrenal_cortical_adenoma_clear_cell","C4165"
"adrenal_cortical_adenoma_compact_cell","C4163"
"adrenal_cortical_adenoma_glomerulosa_cell","C4166"
"adrenal_cortical_adenoma_mixed_cell","C4167"
"adrenal_cortical_adenoma_nos","C9003"
"adrenal_cortical_adenoma_pigmented","C4164"
"adrenal_cortical_carcinoma","C9325"
"adrenal_cortical_tumor_benign","C9004"
"adrenal_cortical_tumor_malignant","C9327"
"adrenal_cortical_tumor_nos","C2858"
"adrenal_gland","C12666"
"adrenal_gland_cancer","C9338"
"adrenal_gland_nos","C12666"
"adrenal_hormone","C2264"
"adrenal_medullary_paraganglioma","C3326"
"adrenal_medullary_paraganglioma_malignant","C4220"
"adrenal_rest_tumor","C2860"
"adult_cystic_teratoma","C9012"
"adult_granulosa_cell_tumor","C66750"
"adult_tcell_leukemia","C3184"
"adult_tcell_leukemialymphoma_htlv1_positive_includes_all_variants","C3184"
"adult_tcell_lymphoma","C3184"
"adult_tcell_lymphomaleukemia","C3184"
"adult_teratoma_nos","C9013"
"aff1","C24602"
"aff3","C24538"
"aff4","C21385"
"afghanistan","C16267"
"after_60_minutes","C164127"
"aggressive_angiomyxoma","C6936"
"aggressive_fibromatosis","C9182"
"aggressive_nkcell_leukaemia","C8647"
"aggressive_osteoblastoma","C66796"
"aggressive_systemic_mastocytosis","C9285"
"agnogenic_myeloid_metaplasia","C2862"
"ain_iii","C157575"
"aircraft_smoke","C164072"
"ajadjuvant_therapy","C15675"
"akap9","C21305"
"akt1","C18350"
"akt2","C18352"
"akt3","C20937"
"albania","C16271"
"albumin","C64431"
"aldh2","C84921"
"aleukemic_leukemia_nos","C4982"
"aleukemic_lymphatic_leukemia","C4343"
"aleukemic_lymphocytic_leukemia","C7176"
"aleukemic_lymphoid_leukemia","C4343"
"algeria","C16274"
"alive","C37987"
"alk","C38184"
"alk_inhibitor_tae684","C171615"
"alk_positive_large_bcell_lymphoma","C7225"
"alkros1met_inhibitor_tqb3101","C173430"
"alleles","C16277"
"allogeneic_antibcma_cartransduced_tcells_allo715","C165779"
"allogeneic_antibcmacar_tcells_pbcar269a","C171066"
"allogeneic_antibcmacs1_bispecific_cart_cells","C173967"
"allogeneic_anticd19_car_tcells_allo501a","C172708"
"allogeneic_anticd19_universal_cart_cells_cta101","C173959"
"allogeneic_anticd20_car_tcells_lucar20s","C174397"
"allogeneic_anticd20car_tcells_pbcar20a","C168570"
"allogeneic_cd22specific_universal_carexpressing_tlymphocytes_ucart22","C165696"
"allogeneic_cd56positive_cd3negative_natural_killer_cells_cynk001","C173877"
"allogeneic_cd8_leukemiaassociated_antigens_specific_t_cells_nexi001","C170887"
"allogeneic_crisprcas9_engineered_antibcma_t_cells_ctx120","C172741"
"allogeneic_crisprcas9_engineered_anticd70_cart_cells_ctx130","C173153"
"allogeneic_cs1specific_universal_carexpressing_tlymphocytes_ucartcs1a","C165661"
"allogeneic_plasmacytoid_dendritic_cells_expressing_lung_tumor_antigens_pdclung01","C173427"
"allogeneic_thirdparty_suicide_genetransduced_antihladpb10401_cd4_tcells_ctl_19","C174401"
"allosteric_erbb_inhibitor_bdtx189","C171059"
"alobresib","C126640"
"alofanib","C170744"
"alpha_cell_tumor_malignant","C65187"
"alpha_fetoprotein","C74732"
"alpha_heavy_chain_disease","C3132"
"alpha_v_beta_8_antagonist_pf06940434","C172097"
"alsevalimab","C155967"
"altered_mental_status","C121628"
"alveolar_adenocarcinoma","C2923"
"alveolar_adenoma","C4140"
"alveolar_carcinoma","C2923"
"alveolar_cell_carcinoma","C2923"
"alveolar_rhabdomyosarcoma","C3749"
"alveolar_soft_part_sarcoma","C3750"
"amelanotic_melanoma","C3802"
"ameloblastic_carcinoma","C7492"
"ameloblastic_fibrodentinoma","C66800"
"ameloblastic_fibroma","C4316"
"ameloblastic_fibroodontoma","C3710"
"ameloblastic_fibrosarcoma","C4317"
"ameloblastic_sarcoma","C4317"
"ameloblastoma_malignant","C54297"
"ameloblastoma_nos","C4313"
"amer1","C68718"
"american_indian_or_alaska_native","C41259"
"amivantamab","C124993"
"aml_m6","C8923"
"amplification","C45581"
"ampulla_of_vater","C13011"
"anal_canal","C12375"
"anal_intraepithelial_neoplasia_grade_iii","C157575"
"anaplastic_astrocytoma_idhmutant","C129290"
"anaplastic_astrocytoma_idhwildtype","C129291"
"anaplastic_large_bcell_lymphoma","C6916"
"anaplastic_large_cell_lymphoma_alk_negative","C37194"
"anaplastic_large_cell_lymphoma_alk_positive","C37193"
"anaplastic_large_cell_lymphoma_cd30","C3720"
"anaplastic_large_cell_lymphoma_nos","C3720"
"anaplastic_medulloblastoma","C92625"
"anaplastic_oligoastrocytoma","C6959"
"anaplastic_oligodendroglioma_idhmutant_and_1p19qcodeleted","C129321"
"anaplastic_pleomorphic_xanthroastrocytoma","C129327"
"ancient_schwannoma","C6556"
"andecaliximab","C105803"
"andorra","C16289"
"androblastoma_benign","C67012"
"androblastoma_malignant","C67006"
"androblastoma_nos","C39976"
"androgen_receptor_degrader_cc94676","C173364"
"androgen_receptor_inhibitor_epi7386","C173374"
"androgen_receptorglucocorticoid_receptor__antagonist_cb0310","C172104"
"aneuploid","C2873"
"angioblastoma","C3801"
"angiocentric_glioma","C92552"
"angiocentric_immunoproliferative_lesion","C40970"
"angiocentric_tcell_lymphoma","C4684"
"angioendothelioma","C3084"
"angioendotheliomatosis","C4342"
"angiofibroma_nos","C3799"
"angioimmunoblastic_lymphadenopathy","C7528"
"angioimmunoblastic_lymphoma","C7528"
"angioimmunoblastic_tcell_lymphoma","C7528"
"angiokeratoma","C2874"
"angioleiomyoma","C3747"
"angiolipoma_nos","C3733"
"angioma_nos","C3085"
"angiomatoid_fibrous_histiocytoma","C6494"
"angiomatous_meningioma","C4332"
"angiomyofibroblastoma","C49016"
"angiomyolipoma","C3734"
"angiomyoma","C3747"
"angiomyosarcoma","C66771"
"angiomyxoma","C3254"
"angiosarcoma","C3088"
"angiotropic_lymphoma","C4342"
"angola","C16292"
"anguilla","C20133"
"anhydrous_enoloxaloacetate","C168687"
"ank1","C84301"
"anterior_mediastinum","C32098"
"anterior_surface_of_epiglottis","C12238"
"anterior_wall_of_bladder","C12334"
"anterior_wall_of_nasopharynx","C12245"
"anti5t4_antibodydrug_conjugate_asn004","C173556"
"anti5t4_antibodydrug_conjugate_syd1875","C175444"
"antib7h3dxd_antibodydrug_conjugate_ds7300a","C171577"
"antibcma_antibodydrug_conjugate_cc99712","C170915"
"antibcma_sparx_protein_plus_bcmadirected_antitaag_arc_tcells_cartddbcma","C167337"
"antibcmaanticd3_bispecific_antibody_regn5459","C165656"
"antibtla_monoclonal_antibody_tab004","C168617"
"antibtn3a_agonistic_monoclonal_antibody_ict01","C175508"
"anticcr7_antibodydrug_conjugate_jbh492","C175477"
"anticd117_monoclonal_antibody_jsp191","C174050"
"anticd137_agonistic_monoclonal_antibody_agen2373","C168522"
"anticd137_agonistic_monoclonal_antibody_ator1017","C173548"
"anticd137_agonistic_monoclonal_antibody_lvgn6051","C171541"
"anticd19_antibodytcell_receptorexpressing_tcells_et019003","C172202"
"anticd19_icar_nk_cells","C170903"
"anticd19cd22_car_nk_cells","C170904"
"anticd205_antibodydrug_conjugate_obt076","C165598"
"anticd20_monoclonal_antibody_bat4306f","C173955"
"anticd20_monoclonal_antibody_mil62","C166140"
"anticd228mmae_antibodydrug_conjugate_sgncd228a","C168772"
"anticd25_monoclonal_antibody_ro7296682","C173969"
"anticd27_agonistic_monoclonal_antibody_mk5890","C172056"
"anticd30dm1_antibodydrug_conjugate_f0002","C172064"
"anticd37_bispecific_monoclonal_antibody_gen3009","C172443"
"anticd38_antibodydrug_conjugate_sti6129","C174057"
"anticd38_monoclonal_antibody_sar442085","C166376"
"anticd38cd28xcd3_trispecific_monoclonal_antibody_sar442257","C173645"
"anticd39_monoclonal_antibody_srf617","C171450"
"anticd3anti5t4_bispecific_antibody_gen1044","C173369"
"anticd3antigucy2c_bispecific_antibody_pf07062119","C166258"
"anticd3cd7ricin_toxin_a_immunotoxin","C165583"
"anticd40anti41bb_bispecific_agonist_monoclonal_antibody_gen1042","C168604"
"anticd47_adc_sgncd47m","C173421"
"anticd47_monoclonal_antibody_imc002","C174192"
"anticd47cd19_bispecific_monoclonal_antibody_tg1801","C166137"
"anticlaudin182_monoclonal_antibody_ab011","C173724"
"anticlaudin182_monoclonal_antibody_tst001","C173726"
"anticmet_monoclonal_antibody_hlx55","C174391"
"antictla4_antibody_fc_fusion_protein_kn044","C173422"
"antictla4_monoclonal_antibody_adg116","C166139"
"antictla4_monoclonal_antibody_hbm4003","C173540"
"antictla4_monoclonal_antibody_onc392","C173547"
"antictla4_probody_bms986288","C173435"
"antictla4antipd1_monoclonal_antibody_combination_bcd217","C172196"
"antiegfrcd16a_bispecific_antibody_afm24","C171163"
"antifraeribulin_antibodydrug_conjugate_morab202","C173946"
"antigarp_monoclonal_antibody_abbv151","C165684"
"antiglobo_hmmae_antibodydrug_conjugate_obi_999","C165657"
"antigpr20dxd_antibodydrug_conjugate_ds6157a","C172987"
"antigremlin1_monoclonal_antibody_ucb6114","C173701"
"antigua_and_barbuda","C16303"
"antiher2_antibody_conjugated_natural_killer_cells_ace1702","C173076"
"antiher2_antibodydrug_conjugate_bat8001","C173966"
"antiher2_antibodydrug_conjugate_dp303c","C173962"
"antiher2_monoclonal_antibody_b002","C174121"
"antiher2_monoclonal_antibody_hlx22","C172198"
"antiher2dm1_adc_b003","C173420"
"antiher2dm1_antibodydrug_conjugate_gq1001","C173827"
"antiher2mmae_antibodydrug_conjugate_mrg002","C174205"
"antihlag_antibody_ttx080","C175374"
"antiil8_monoclonal_antibody_bms986253","C124227"
"antiintegrin_beta6mmae_antibodydrug_conjugate_sgnb6a","C172391"
"antiirf4_antisense_oligonucleotide_ion251","C173725"
"antilag3_monoclonal_antibody_ibi110","C168603"
"antilatent_tgfbeta_1_monoclonal_antibody_srk181","C173598"
"antilewis_blewis_y_monoclonal_antibody_gnx102","C175411"
"antililrb4_monoclonal_antibody_io202","C174485"
"antimesothelinmmae_antibodydrug_conjugate_rc88","C174395"
"antimuc16cd3_bispecific_antibody_regn4018","C153129"
"antimuc17cd3_bite_antibody_amg_199","C165588"
"antinapi2b_antibodydrug_conjugate_xmt1592","C173702"
"antinrp1_antibody_asp1948","C156402"
"antiox40_agonist_monoclonal_antibody_bgba445","C175453"
"antiox40_hexavalent_agonist_antibody_inbrx106","C173983"
"antipd1_antibodyinterleukin21_mutein_fusion_protein_amg_256","C174140"
"antipd1_monoclonal_antibody_609a","C172820"
"antipd1_monoclonal_antibody_scti10a","C170758"
"antipd1antiher2_bispecific_antibody_ibi315","C174419"
"antipd1antilag3_bispecific_antibody_ro7247669","C173539"
"antipd1antipdl1_bispecific_antibody_ibi318","C171938"
"antipd1cd47_infusion_protein_hx009","C168600"
"antipd1ctla4_bispecific_antibody_medi5752","C171937"
"antipd1vegf_bispecific_antibody_ak112","C170909"
"antipdl1_monoclonal_antibody_imc001","C172819"
"antipdl1_monoclonal_antibody_rc98","C174520"
"antipdl1anti41bb_bispecific_monoclonal_antibody_gen1046","C172194"
"antipdl1il15_fusion_protein_kd033","C173592"
"antiprame_tcell_receptoranticd3_scfv_fusion_protein_imcf106c","C170976"
"antipsmacd3_bispecific_antibody_ccw702","C169053"
"antirankl_monoclonal_antibody_gb223","C174406"
"antirankl_monoclonal_antibody_jmt103","C175441"
"antiribonucleoprotein_antibody_atrc101","C172924"
"antiror1pnu159682_derivative_antibodydrug_conjugate_nbe002","C174012"
"antisense_oligonucleotide_qr313","C162452"
"antitigit_monoclonal_antibody_bgba1217","C170906"
"antitigit_monoclonal_antibody_com902","C174037"
"antitigit_monoclonal_antibody_sgntgt","C173630"
"antitim3_monoclonal_antibody_shr1702","C172108"
"antitrailr2cdh17_tetravalent_bispecific_antibody_bi_905711","C173541"
"antitrop2_antibodydrug_conjugate_bat8003","C172060"
"antitrop2_antibodydrug_conjugate_skb264","C166409"
"antivegfr2_monoclonal_antibody_msb0254","C174422"
"anus_nos","C43362"
"aortic_body_paraganglioma","C4218"
"aortic_body_tumor","C4218"
"aorticopulmonary_paraganglioma","C4218"
"apc","C17567"
"apobec3b","C117001"
"apocrine_adenoma","C4168"
"apocrine_cystadenoma","C43342"
"appendix","C12380"
"aprinocarsen","C1788"
"aprutumab","C107683"
"apudoma","C2879"
"ar","C28539"
"araf","C18354"
"argentina","C16305"
"arhgap26","C97504"
"arhgap5","C97279"
"arhgef12","C97436"
"arid1a","C92530"
"arid1b","C102520"
"arid2","C101088"
"armenia","C16306"
"arnt","C26373"
"arrhenoblastoma_benign","C67012"
"arrhenoblastoma_malignant","C67006"
"arrhenoblastoma_nos","C39976"
"arteriovenous_hemangioma","C2882"
"aruba","C17884"
"aryl_hydrocarbon_receptor_inhibitor_ik175","C171151"
"ascending_colon","C12265"
"ascites","C2885"
"asian","C41260"
"askin_tumor","C7542"
"aspacytarabine","C153327"
"aspscr1","C70991"
"astroblastoma","C4324"
"astrocytic_glioma","C6958"
"astrocytoma_anaplastic","C9477"
"astrocytoma_low_grade","C7173"
"astrocytoma_nos","C60781"
"astroglioma","C6958"
"asunercept","C90562"
"asxl1","C97320"
"asxl2","C116296"
"atf1","C92177"
"atic","C97400"
"atm","C18583"
"atp1a1","C113762"
"atp2b3","C113765"
"atr","C20560"
"atr_inhibitor_rp3500","C174206"
"atr_kinase_inhibitor_m1774","C171067"
"atrx","C74976"
"attenuated_measles_virus_encoding_scd_transgene_tmv018","C175440"
"atuveciclib","C121456"
"atypical","C8326"
"atypical_adenoma","C7559"
"atypical_carcinoid_tumor","C72074"
"atypical_choroid_plexus_papilloma","C53686"
"atypical_chronic_myeloid_leukemia_bcrabl_negative","C3176"
"atypical_chronic_myeloid_leukemia_philadelphia_chromosome_ph1_negative","C3176"
"atypical_fibrous_histiocytoma","C4246"
"atypical_fibroxanthoma","C4246"
"atypical_follicular_adenoma","C27729"
"atypical_leiomyoma","C4257"
"atypical_lipoma","C6505"
"atypical_meningioma","C4723"
"atypical_polypoid_adenomyoma","C6895"
"atypical_proliferating_serous_tumor","C4177"
"atypical_proliferative_endometrioid_tumor","C7983"
"atypical_proliferative_papillary_serous_tumor","C4183"
"atypical_teratoidrhabdoid_tumor","C6906"
"audencel","C123928"
"aunt","C71405"
"australia","C16311"
"austria","C16312"
"autologous_afp_specific_t_cell_receptor_transduced_t_cells_ctcr055","C173429"
"autologous_antibcma_car_tcells_phe885","C174124"
"autologous_antibcma_cd8_car_tcells_descartes11","C173434"
"autologous_antibcmacar41bbcd3zetaexpressing_tcells_ccar088","C170747"
"autologous_anticd123_cart_cells","C171167"
"autologous_anticd19_car41bbcd3zetaexpressing_tcells_cnct19","C175465"
"autologous_anticd19_car_tcells_19t228z1xx","C173622"
"autologous_anticd19_chimeric_antigen_receptor_tcells_auto1","C172746"
"autologous_anticd19_tact_cells_tac01cd19","C172055"
"autologous_anticd19carher2tcd22caregfrtexpressing_tcells","C155897"
"autologous_anticd19cd20_bispecific_nanobodybased_cart_cells","C172057"
"autologous_anticd20_car_transduced_cd4cd8_enriched_tcells_mbcart201","C172063"
"autologous_antiegfr_cartransduced_cxcr_5modified_tlymphocytes","C173958"
"autologous_antiflt3_car_t_cells_amg_553","C172197"
"autologous_antiicam1carcd2841bbcd3zetaexpressing_tcells_aic100","C173378"
"autologous_antikappa_light_chain_carcd28expressing_tlymphocytes","C175446"
"autologous_antipd1_antibodyactivated_tumorinfiltrating_lymphocytes","C172191"
"autologous_antipsma_cart_cells_ppsma101","C175511"
"autologous_bcmatargeted_car_t_cells_cc98633","C173699"
"autologous_bispecific_bcmacd19targeted_cart_cells_gc012f","C175471"
"autologous_bispecific_cd19cd22targeted_cart_cells_gc022","C171093"
"autologous_cd19_carexpressing_cd4cd8_tcells_mbcart191","C172103"
"autologous_cd19pd1_bispecific_cart_cells","C172387"
"autologous_cd19targeted_car_t_cells_cc97540","C175049"
"autologous_cd19targeted_cart_cells_gc007f","C171092"
"autologous_clonal_neoantigen_t_cells_atl001","C171097"
"autologous_crispredited_anticd19_car_t_cells_xyf19","C170914"
"autologous_monocytederived_lysatepulsed_dendritic_cell_vaccine_pv001dc","C173442"
"autologous_multilineage_potential_cells","C170908"
"autologous_nectin4faptargeted_cart_cells","C172386"
"autologous_nkg2d_car_tcells_cyad02","C173710"
"autologous_pancreatic_adenocarcinoma_lysate_and_mrnaloaded_dendritic_cell_vaccine","C173968"
"autologous_peripheral_blood_lymphocytes_from_ibrutinibtreated_chronic_lymphocytic_leukemia_patients_iov2001","C167208"
"autologous_rapamycinresistant_th1tc1_cells_rapa201","C174405"
"autologous_tcrmexpressing_tcells_et140203","C175306"
"autologous_tetravalent_dendritic_cell_vaccine_midrix4lung","C168775"
"autologous_tumor_infiltrating_lymphocytes_ln145s1","C173508"
"autologous_universal_carexpressing_tlymphocytes_unicar02t","C175463"
"autonomic_nervous_system_nos","C12673"
"autopsy","C25153"
"avdoralimab","C163020"
"aviscumine","C78188"
"axalimogene_filolisbac","C74595"
"axatilimab","C155813"
"axillary","C12904"
"axillary_tail_of_breast","C12305"
"axin1","C19969"
"axin2","C20763"
"axl_flt3vegfr2_inhibitor_kc1036","C173961"
"axl_inhibitor_slc391","C173362"
"axlmer_inhibitor_pf07265807","C175543"
"azerbaijan","C16316"
"azintuxizumab_vedotin","C122816"
"bahamas","C16321"
"bahrain","C16322"
"ball","C8644"
"balloon_cell_melanoma","C4227"
"balloon_cell_nevus","C4226"
"balstilimab","C136465"
"balt_lymphoma","C5264"
"bangladesh","C16323"
"bap1","C20766"
"barbados","C16324"
"bard1","C20715"
"basal_cell_adenocarcinoma","C3678"
"basal_cell_adenoma","C5950"
"basal_cell_cancer","C2921"
"basal_cell_carcinoma_desmoplastic_type","C27539"
"basal_cell_carcinoma_fibroepithelial","C4109"
"basal_cell_carcinoma_micronodular","C27541"
"basal_cell_carcinoma_morpheic","C27539"
"basal_cell_carcinoma_nodular","C62282"
"basal_cell_carcinoma_nos","C2921"
"basal_cell_epithelioma","C2921"
"basal_cell_tumor","C3784"
"basaloid_carcinoma","C4121"
"basaloid_squamous_cell_carcinoma","C54244"
"base_of_tongue_nos","C12228"
"basophil","C64470"
"basophil_adenocarcinoma","C4150"
"basophil_adenoma","C2856"
"basophil_carcinoma","C4150"
"basosquamous_carcinoma","C2922"
"bazlitoran","C114975"
"bcell_genotyping","C171142"
"bcell_lymphocytic_leukemiasmall_lymphocytic_lymphoma","C3163"
"bcell_lymphoma_unclassifiable_with_features_intermediate_between_diffuse_large_bcell_lymphoma_and_burkitt_lymphoma","C80291"
"bcell_lymphoma_unclassifiable_with_features_intermediate_between_diffuse_large_bcell_lymphoma_and_classical_hodgkin_lymphoma","C37869"
"bcl10","C24259"
"bcl11a","C97394"
"bcl11b","C91855"
"bcl2","C17963"
"bcl2_inhibitor_bgb11417","C175489"
"bcl2_inhibitor_lp108","C173536"
"bcl2l12","C114743"
"bcl3","C18360"
"bcl6","C24260"
"bcl7a","C24261"
"bcl9","C24262"
"bcl9l","C132328"
"bclaf1","C115994"
"bcmacd19_compound_car_t_cells","C174412"
"bcmacd3e_trispecific_tcell_activating_construct_hpn217","C171631"
"bcor","C101091"
"bcorl1","C131268"
"bcr","C18455"
"bednar_tumor","C9430"
"belantamab_mafodotin","C114299"
"belapectin","C115111"
"belarus","C16372"
"belgium","C16329"
"belize","C16331"
"bellini_duct_carcinoma","C6194"
"belvarafenib","C121646"
"belzutifan","C135627"
"benign","C168802"
"benign_cystic_nephroma","C7504"
"benign_fibrous_histiocytoma","C3739"
"benin","C16333"
"bermuda","C16334"
"bersanlimab","C88327"
"berzosertib","C116355"
"beta_2_microglobulin","C81980"
"beta_cell_adenoma","C67457"
"beta_cell_tumor_malignant","C65186"
"betaglucin_gel","C172188"
"bexmarilimab","C159536"
"bhutan","C16336"
